subjectID,Start,Object_1,Object_2,congruence,correctness,tooSlow,trialNumber,displayedResponseTime,attention
11,BS,B,B,False,True,False,36,633.3333333333334,
11,SB,B,B,False,True,False,37,516.6666666666667,
11,BS,B,S,True,True,False,38,433.33333333333337,
11,BS,S,B,True,True,False,39,450.00000000000006,100.0
12,BS,B,B,False,False,True,0,933.3333333333334,
12,BS,B,S,True,False,True,1,916.6666666666669,
12,BS,S,B,True,False,False,2,100.0,
12,SB,S,S,False,False,True,3,933.3333333333334,
12,BS,B,B,False,True,False,4,100.0,
12,BS,B,S,True,True,False,5,150.0,
12,BS,S,B,True,True,False,6,33.333333333333336,
12,SB,S,S,False,False,False,7,83.33333333333334,
12,SB,B,B,False,True,False,8,116.66666666666669,
12,SB,S,B,True,True,False,9,16.666666666666668,
12,SB,B,B,False,True,False,10,50.0,
12,BS,S,B,True,True,False,11,50.0,
12,SB,S,B,True,True,False,12,133.33333333333334,
12,BS,S,S,False,False,False,13,100.0,
12,BS,B,B,False,False,False,14,150.0,
12,SB,B,S,True,True,False,15,116.66666666666669,
12,SB,B,B,False,True,False,16,50.0,
12,SB,S,B,True,True,False,17,133.33333333333334,
12,SB,B,S,True,True,False,18,116.66666666666669,
12,BS,S,B,True,True,False,19,166.66666666666669,
12,BS,B,B,False,True,False,20,100.0,
12,BS,S,S,False,True,False,21,116.66666666666669,
12,BS,S,B,True,True,False,22,50.0,
12,BS,B,B,False,False,False,23,83.33333333333334,
12,SB,B,S,True,True,False,24,100.0,
12,SB,S,B,True,True,False,25,50.0,
12,SB,B,B,False,False,False,26,416.6666666666667,
12,BS,S,S,False,False,True,27,933.3333333333334,
12,BS,S,S,False,False,True,28,933.3333333333334,
12,SB,B,B,False,False,False,29,83.33333333333334,
12,BS,B,S,True,True,False,30,133.33333333333334,
12,BS,B,B,False,True,False,31,100.0,
12,SB,S,B,True,False,False,32,83.33333333333334,
12,BS,S,B,True,False,True,33,933.3333333333334,
12,BS,S,S,False,False,False,34,50.0,
12,BS,S,B,True,False,False,35,150.0,
12,BS,B,B,False,True,False,36,16.666666666666668,
12,BS,B,S,True,True,False,37,200.0,
12,SB,S,B,True,False,False,38,116.66666666666669,
12,SB,B,B,False,True,False,39,300.0,100.0
13,BS,B,S,True,False,True,0,916.6666666666669,
13,SB,S,B,True,False,True,1,916.6666666666669,
13,BS,S,S,False,False,False,2,66.66666666666667,
13,SB,S,S,False,False,True,3,916.6666666666669,
13,BS,B,S,True,False,False,4,116.66666666666669,
13,SB,S,B,True,True,False,5,666.6666666666667,
13,BS,S,S,False,False,False,6,533.3333333333334,
13,SB,S,S,False,False,False,7,0.0,
13,SB,B,S,True,True,False,8,916.6666666666669,
13,SB,B,B,False,False,False,9,666.6666666666667,
13,BS,S,S,False,False,True,10,916.6666666666669,
13,SB,S,S,False,False,True,11,916.6666666666669,
13,SB,B,S,True,False,False,12,166.66666666666669,
